manufacturer,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
Volkswagen,e-Golf,85,26.05.2018,44,8.74,Summer tires,0,0,1,Moderate,13.6,0,0,44,-3.2
Volkswagen,e-Golf,85,25.05.2018,86,8.56,Summer tires,0,1,0,Moderate,14.8,0,0,57,-2
Volkswagen,e-Golf,85,25.05.2018,86,12.81,Summer tires,0,1,0,Moderate,12.1,0,0,72,-4.7
Volkswagen,e-Golf,85,24.05.2018,86,8,Summer tires,0,1,0,Moderate,12.1,0,0,61,-4.7
Volkswagen,e-Golf,85,24.05.2018,87,14.91,Summer tires,0,1,0,Moderate,11.8,0,0,74,-5
Volkswagen,e-Golf,85,23.05.2018,85,14.14,Summer tires,0,1,0,Moderate,12.4,0,0,68,-4.4
Volkswagen,e-Golf,85,23.05.2018,86,12.65,Summer tires,0,1,0,Moderate,11.2,0,0,72,-5.6
Volkswagen,e-Golf,85,22.05.2018,88,5.02,Summer tires,0,1,0,Moderate,12.2,0,0,68,-4.6
Volkswagen,e-Golf,85,22.05.2018,87,10.18,Summer tires,0,1,0,Moderate,11.7,0,0,53,-5.1
Volkswagen,e-Golf,85,18.05.2018,89,16.55,Summer tires,0,1,0,Moderate,12,0,0,68,-4.8
Volkswagen,e-Golf,85,16.05.2018,85,12.14,Summer tires,0,1,0,Moderate,11.4,0,0,74,-5.4
Volkswagen,e-Golf,85,15.05.2018,86,8.37,Summer tires,0,1,0,Moderate,12.3,0,0,60,-4.5
Volkswagen,e-Golf,85,15.05.2018,86,16.49,Summer tires,1,1,0,Moderate,11.8,0,0,74,-5
Volkswagen,e-Golf,85,15.05.2018,104,9.3,Summer tires,1,1,0,Moderate,12.4,0,0,63,-4.4
Volkswagen,e-Golf,85,14.05.2018,86,10.23,Summer tires,0,1,0,Moderate,11.9,0,0,65,-4.9
Volkswagen,e-Golf,85,09.05.2018,85,16.74,Summer tires,0,1,0,Moderate,12.6,0,0,75,-4.2
Volkswagen,e-Golf,85,08.05.2018,6,6.07,Summer tires,1,0,0,Moderate,11,0,0,18,-5.8
Volkswagen,e-Golf,85,08.05.2018,20,4.87,Summer tires,1,0,0,Moderate,10.2,0,0,28,-6.6
Volkswagen,e-Golf,85,08.05.2018,87,10.18,Summer tires,0,1,0,Moderate,11.3,0,0,66,-5.5
Volkswagen,e-Golf,85,07.05.2018,86,11.53,Summer tires,0,1,0,Moderate,11.8,0,0,67,-5
Volkswagen,e-Golf,85,07.05.2018,85,9.89,Summer tires,0,1,0,Moderate,11.5,0,0,70,-5.3
Volkswagen,e-Golf,85,07.05.2018,89,6.7,Summer tires,1,1,1,Moderate,11.8,0,0,41,-5
Volkswagen,e-Golf,85,05.05.2018,58,11.53,Summer tires,0,0,1,Moderate,11.9,0,0,48,-4.9
Volkswagen,e-Golf,85,03.05.2018,85,16.92,Summer tires,0,1,0,Moderate,12.4,0,0,72,-4.4
Volkswagen,e-Golf,85,02.05.2018,85,6.14,Summer tires,0,1,0,Moderate,11.7,0,0,61,-5.1
Volkswagen,e-Golf,85,02.05.2018,86,17.53,Summer tires,0,1,0,Moderate,14.5,0,1,65,-2.3
Volkswagen,e-Golf,85,28.04.2018,93,14.88,Summer tires,0,1,0,Moderate,14.7,0,0,46,-2.1
Volkswagen,e-Golf,85,27.04.2018,86,17.01,Summer tires,0,1,0,Moderate,14.1,0,0,72,-2.7
Volkswagen,e-Golf,85,26.04.2018,85,9.11,Summer tires,0,1,0,Moderate,12.9,0,0,56,-3.9
