manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Renault,Zoe Intense,07.05.2016,128.3,65,18,Summer tires,0,0,1,Normal,14.2,1,0,65.5,0.4,
Renault,Zoe Intense,06.05.2016,20.6,65,2,Summer tires,0,0,1,Normal,14.2,1,0,52.3,0.4,
Renault,Zoe Intense,06.05.2016,206,65,36,Summer tires,0,0,1,Normal,17.4,1,0,70.2,3.6,
Renault,Zoe Intense,04.05.2016,88,65,14,Summer tires,1,1,1,Normal,16.9,1,0,50.4,3.1,
Renault,Zoe Intense,04.05.2016,136,65,20,Summer tires,1,0,1,Normal,14.8,1,0,58.3,1,
Renault,Zoe Intense,03.05.2016,239,65,41,Summer tires,1,0,1,Normal,17.1,1,0,62.1,3.3,
Renault,Zoe Intense,02.05.2016,62,65,11,Summer tires,1,0,1,Normal,19.1,1,0,37.8,5.3,
Renault,Zoe Intense,29.04.2016,153,65,27,Summer tires,1,0,1,Normal,18.2,1,0,36.2,4.4,
Renault,Zoe Intense,17.04.2016,160,65,26,Summer tires,1,0,1,Normal,16.5,1,0,41.2,2.7,
Renault,Zoe Intense,12.04.2016,131,65,21,Winter tires,1,1,1,Normal,16.2,1,1,48,2.4,
Renault,Zoe Intense,05.04.2016,328,65,53,Winter tires,1,1,1,Normal,16.2,1,1,63.5,2.4,
Renault,Zoe Intense,01.04.2016,403,65,76,Winter tires,1,1,1,Normal,19,1,1,57,5.2,
Renault,Zoe Intense,29.03.2016,62,65,10,Winter tires,1,1,1,Normal,16.2,1,1,58.3,2.4,
Renault,Zoe Intense,28.03.2016,795,65,159,Winter tires,1,1,1,Fast,20,1,1,81.7,6.2,
Renault,Zoe Intense,25.03.2016,158,65,28,Winter tires,1,1,1,Fast,18.2,1,1,50.2,4.4,hemma
Renault,Zoe Intense,21.03.2016,103,65,18,Winter tires,1,1,1,Fast,17.7,1,1,51.2,3.9,
Renault,Zoe Intense,21.03.2016,529,65,68,Winter tires,1,1,1,Fast,18.8,1,1,50.7,5,
Renault,Zoe Intense,12.03.2016,168,65,23,Winter tires,1,1,1,Normal,16.3,1,1,36.8,2.5,
Renault,Zoe Intense,04.03.2016,924,65,223,Winter tires,1,1,1,Fast,18.8,1,1,68.1,5,
Renault,Zoe Intense,01.03.2016,261,65,47,Winter tires,1,0,1,Normal,18.2,1,1,51.1,4.4,
Renault,Zoe Intense,26.02.2016,197.3,65,35,Winter tires,1,0,1,Normal,18.1,1,1,38.2,4.3,
Renault,Zoe Intense,12.02.2016,248,65,40,Winter tires,1,0,1,Normal,16.1,1,1,51.8,2.3,
Renault,Zoe Intense,10.02.2016,82,65,14,Winter tires,1,0,1,Fast,17.1,1,1,48.1,3.3,
Renault,Zoe Intense,08.02.2016,239,65,44,Winter tires,1,0,1,Normal,18.5,1,1,66.9,4.7,
Renault,Zoe Intense,08.02.2016,139.7,65,24,Winter tires,1,0,1,Normal,17.5,1,1,62.5,3.7,
Renault,Zoe Intense,02.02.2016,267.3,65,46,Winter tires,1,0,1,Normal,17.4,1,1,49,3.6,ikea hbg
Renault,ZOE Q210 Intens,08.11.2019,314,65,49,Winter tires,1,0,1,Moderate,15.6,1,0,37.1,1.8,VERKAUFT AM 8.11.2019
Renault,ZOE Q210 Intens,31.10.2019,706,65,109,Summer tires,1,0,1,Moderate,15.5,1,0,33.7,1.7,
Renault,ZOE Q210 Intens,30.09.2019,771,65,110.5,Summer tires,1,0,1,Moderate,14.3,1,0,36.4,0.5,
Renault,ZOE Q210 Intens,31.08.2019,953,65,125,Summer tires,1,0,1,Moderate,13.1,1,0,36.9,-0.7,
Renault,ZOE Q210 Intens,31.07.2019,1018,65,138,Summer tires,1,0,1,Moderate,13.5,1,0,41.6,-0.3,
Renault,ZOE Q210 Intens,30.06.2019,885,65,117,Summer tires,1,0,1,Moderate,13.2,1,0,38.8,-0.6,
Renault,ZOE Q210 Intens,31.05.2019,980,65,148,Summer tires,1,0,1,Moderate,15.1,1,0,34.3,1.3,
Renault,ZOE Q210 Intens,30.04.2019,1029,65,155,Summer tires,1,0,1,Moderate,15.1,1,0,39.9,1.3,
Renault,ZOE Q210 Intens,31.03.2019,659,65,113,Winter tires,1,0,1,Moderate,17.2,1,0,37.4,3.4,
Renault,ZOE Q210 Intens,28.02.2019,667,65,123,Winter tires,1,0,1,Moderate,18.4,1,0,37.9,4.6,
Renault,ZOE Q210 Intens,31.01.2019,650,65,134,Winter tires,1,0,1,Moderate,20.6,1,0,34.3,6.8,
Renault,ZOE Q210 Intens,31.12.2018,662,65,125,Winter tires,1,0,1,Moderate,18.9,1,0,36.6,5.1,
Renault,ZOE Q210 Intens,30.11.2018,907,65,152,Winter tires,1,0,1,Moderate,17.1,1,0,37.9,3.3,
Renault,ZOE Q210 Intens,31.10.2018,806,65,127,Summer tires,1,0,1,Moderate,15.7,1,0,36.2,1.9,
Renault,ZOE Q210 Intens,30.09.2018,879,65,119.6,Summer tires,1,0,1,Moderate,13.6,1,0,37.8,-0.2,
Renault,ZOE Q210 Intens,31.08.2018,998,65,137,Summer tires,1,0,1,Moderate,13.7,1,0,39.9,-0.1,
Renault,ZOE Q210 Intens,31.07.2018,978,65,133,Summer tires,1,0,1,Moderate,13.6,1,0,39.9,-0.2,
Renault,ZOE Q210 Intens,30.06.2018,773,65,106,Summer tires,1,0,1,Moderate,13.7,1,0,39.2,-0.1,
Renault,ZOE Q210 Intens,31.05.2018,802,65,110,Summer tires,1,0,1,Moderate,13.7,1,0,35.3,-0.1,
Renault,ZOE Q210 Intens,30.04.2018,612,65,86,Winter tires,1,0,1,Moderate,14,1,0,32,0.2,
Renault,ZOE Q210 Intens,31.03.2018,823,65,136,Winter tires,1,0,1,Moderate,16.5,1,0,38.3,2.7,
Renault,ZOE Q210 Intens,28.02.2018,732,65,148,Winter tires,1,0,1,Moderate,20.2,1,0,38,6.4,
Renault,ZOE Q210 Intens,31.01.2018,897,65,155,Winter tires,1,0,1,Moderate,17.2,1,0,39,3.4,
Renault,ZOE Q210 Intens,31.12.2017,1054,65,202,Winter tires,1,0,1,Moderate,19.2,1,0,35.7,5.4,
Renault,ZOE Q210 Intens,30.11.2017,829,65,152,Summer tires,1,0,1,Moderate,18.3,1,0,33,4.5,
Renault,ZOE Q210 Intens,31.10.2017,1137,65,175,Summer tires,1,0,1,Moderate,15.4,1,0,35.9,1.6,
Renault,ZOE Q210 Intens,30.09.2017,727,65,106.5,Summer tires,1,0,1,Moderate,14.6,0,0,36.8,0.8,
