manufacturer,version,fuel_date,trip_distance(km),power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,e-Golf,18.07.2020,4,100,0.49,Summer tires,0,0,0,Normal,12.2,0,0,21,-0.5,
Volkswagen,e-Golf,18.07.2020,72,100,9,Summer tires,0,0,0,Normal,12.5,0,0,60,-0.2,
Volkswagen,e-Golf,17.07.2020,34,100,4.9,Summer tires,0,0,0,Normal,47,0,0,15.3,34.3,
Volkswagen,e-Golf,17.07.2020,120,100,15.72,Summer tires,0,0,0,Normal,13.1,0,0,51,0.4,
Volkswagen,e-Golf,14.07.2020,175,100,21.18,Summer tires,0,0,0,Normal,12.1,0,0,42,-0.6,
Volkswagen,e-Golf,11.07.2020,122,100,13.05,Summer tires,0,0,0,Normal,10.7,0,0,49,-2,
Volkswagen,e-Golf,09.07.2020,32,100,5.38,Summer tires,0,0,0,Normal,16.8,0,0,65,4.1,
Volkswagen,e-Golf,08.07.2020,11,100,1.43,Summer tires,0,0,0,Normal,13,0,0,35,0.3,
Volkswagen,e-Golf,08.07.2020,154,100,19.4,Summer tires,0,0,0,Normal,12.6,0,0,52,-0.1,
Volkswagen,e-Golf,06.07.2020,127,100,15.11,Summer tires,0,0,0,Normal,11.9,0,0,43,-0.8,
Volkswagen,e-Golf,03.07.2020,157,100,20.25,Summer tires,0,0,0,Normal,12.9,0,0,50,0.2,
Volkswagen,e-Golf,01.07.2020,150,100,19.35,Summer tires,0,0,0,Normal,12.9,0,0,52,0.2,
Volkswagen,e-Golf,29.06.2020,50,100,8.55,Summer tires,0,0,0,Fast,17.1,0,0,50,4.4,
Volkswagen,e-Golf,27.06.2020,146,100,18.4,Summer tires,0,0,0,Normal,12.6,0,0,50,-0.1,
Volkswagen,e-Golf,26.06.2020,79,100,9.88,Summer tires,0,0,0,Normal,12.5,0,0,49,-0.2,
Volkswagen,e-Golf,25.06.2020,141,100,17.63,Summer tires,0,0,0,Normal,12.5,0,0,36,-0.2,
Volkswagen,e-Golf,19.06.2020,4267,100,678.45,All-year tires,0,1,1,Normal,15.9,0,0,52,3.2,Nexen GJ-Reifen rollen schlecht.
Volkswagen,e-Golf,14.02.2020,4676,100,893.12,All-year tires,0,1,1,Normal,19.1,0,1,47,6.4,
Volkswagen,e-Golf,09.11.2019,2193,100,364,All-year tires,0,1,1,Normal,16.6,0,0,50,3.9,
Volkswagen,e-Golf,25.10.2019,1680,100,265.44,All-year tires,0,1,1,Normal,15.8,0,0,52,3.1,
Volkswagen,e-Golf,27.09.2019,1357,100,204.9,All-year tires,0,1,1,Normal,15.1,0,0,53,2.4,
Volkswagen,e-Golf,24.08.2019,5405,100,772.92,All-year tires,0,1,1,Normal,14.3,1,0,54,1.6,
Volkswagen,e-Golf,21.04.2019,4772,100,873.28,All-year tires,0,1,1,Fast,18.3,0,0,48,5.6,
Volkswagen,e-Golf,09.01.2019,4348,100,875.6,All-year tires,0,1,1,Fast,19.9,0,1,44,7.2,Nexen GJ-Reifen rollen schlecht.
Volkswagen,e-Golf,11.06.2016,77,85,9.87,Summer tires,1,0,1,Normal,11.4,0,0,54,-1.3,
Volkswagen,e-Golf,09.06.2016,1774,85,250.74,Summer tires,1,0,1,Fast,14,1,0,53,1.3,
Volkswagen,e-Golf 300,15.12.2017,561,100,17.3,Winter tires,1,1,1,Normal,18,1,1,46,5.3,
Volkswagen,E-Golf 300 (BE2),16.01.2019,114,100,17.9,Winter tires,1,1,1,Normal,15.7,0,0,55,3,
Volkswagen,E-Golf 300 (BE2),14.01.2019,105,100,17.2,Winter tires,1,1,1,Normal,16.4,0,0,45,3.7,
